year,state,num_below_fpl,population,percap_num_below_fpl
2003,New York,968672.0,19175939.0,0.050514970870526865
2003,North Carolina,469846.0,8422501.0,0.055784617894376026
2003,North Dakota,33292.0,638817.0,0.05211508147090638
2003,Ohio,538100.0,11434788.0,0.047058152717829135
2003,Oklahoma,215277.0,3504892.0,0.06142186406885005
2003,Oregon,191349.0,3547376.0,0.053940997514782756
2003,Pennsylvania,534428.0,12374658.0,0.04318729454987766
2003,Rhode Island,48633.0,1071342.0,0.04539446787300414
2003,South Carolina,228328.0,4150297.0,0.05501485797281496
2003,South Dakota,34064.0,763729.0,0.04460220837496023
2003,Tennessee,331890.0,5847812.0,0.056754560509127173
2003,Texas,1150384.0,22030931.0,0.052216767416683386
2003,Utah,74387.0,2360137.0,0.031518085602657814
2003,Vermont,25570.0,617858.0,0.04138491368566888
2003,Virginia,268757.0,7366977.0,0.03648131384148478
2003,Washington,261848.0,6104115.0,0.04289696376952269
2003,West Virginia,143371.0,1812295.0,0.07911018901448164
2003,Wisconsin,215832.0,5479203.0,0.03939113042535566
2003,Wyoming,19420.0,503453.0,0.038573610644886416
2004,Alabama,293206.0,4530729.0,0.0647149719173228
2004,Alaska,16411.0,659286.0,0.024892080220116915
2004,Arizona,274283.0,5652404.0,0.04852501696623242
2004,Arkansas,201652.0,2749686.0,0.0733363736804857
2004,California,1442566.0,35574576.0,0.04055047627271791
2004,Colorado,202380.0,4575013.0,0.04423593987601784
2004,Connecticut,114213.0,3496094.0,0.032668744032626124
2004,Delaware,31146.0,830803.0,0.03748903169584125
2004,District of Columbia,39149.0,567754.0,0.06895415972410586
2004,Florida,786172.0,17415318.0,0.04514255783328217
2004,Georgia,459998.0,8769252.0,0.052455785282484756
2004,Hawaii,46483.0,1273569.0,0.03649821878516201
2004,Idaho,69806.0,1391802.0,0.05015512263957086
2004,Illinois,542322.0,12589773.0,0.04307639224313258
2004,Indiana,256250.0,6233007.0,0.041111777990944016
2004,Iowa,124208.0,2953635.0,0.04205258943640633
2004,Kansas,125327.0,2734373.0,0.045833907809944
2004,Kentucky,289245.0,4146101.0,0.06976313408669976
2004,Louisiana,323196.0,4552238.0,0.07099716666835082
2004,Maine,67745.0,1313688.0,0.051568561180432494
2004,Maryland,184179.0,5546935.0,0.03320374224684443
2004,Massachusetts,246656.0,6412281.0,0.038466186993364765
2004,Michigan,467964.0,10055315.0,0.046538969689164385
2004,Minnesota,181931.0,5087713.0,0.035758895991185036
2004,Mississippi,225304.0,2889010.0,0.0779865767165915
2004,Missouri,282868.0,5747741.0,0.04921376937478568
2004,Montana,53302.0,930009.0,0.05731342384858641
2004,Nebraska,77026.0,1749370.0,0.044030708197808355
2004,Nevada,98889.0,2346222.0,0.04214818546582549
2004,New Hampshire,40964.0,1290121.0,0.03175206046564624
2004,New Jersey,265390.0,8634561.0,0.030735783787965595
2004,New Mexico,121362.0,1903808.0,0.063746974484822
